Model,Segment,Text
OnePlus 1,Performance and CyanogenMod,"Part of that speed is thanks to the clean and lite CyanogenMod 11S software, based on Android 4.4.2. For the uninitiated, CyanogenMod is one of the most prominent names in the Android development world. CyanogenMod's vision combines stock Android sensibilities with the utility of aftermarket features that you won't find in skins like TouchWiz or Sense. And unlike those two, CyanogenMod is completely customizable, meaning if you don't like something, you don't ever have to deal with it. Though better suited for tinkerers, it's also easy enough to use for mainstream audiences. There's a laundry list of tweaks and features available, but I'll focus on some of the more important ones here."
OnePlus 1,Performance and CyanogenMod,"Gesture and voice commands are available out of the box, allowing for double-tap to wake and touchless controls a la Moto X($179.99 at Amazon). CM takes things a step further, letting you draw a V when the screen is off to launch straight into the flashlight, or draw a circle to launch straight into the camera, both of which worked reliably in my tests. The same cannot be said for voice commands, though, especially with the screen off. Instead of ""OK Google Now,"" the OnePlus One trains itself to recognize ""Hey Snapdragon"" to launch Google Now's voice recognition. This worked for me about 30 percent of the time, and I'd typically have to yell it or enunciate unnaturally to get it to work. When it does work, it functions more or less on the same level as the Moto X. You can ask for weather forecasts, send texts, set reminders, or any other function available via Google Now."
OnePlus 1,Performance and CyanogenMod,"Easily swappable UI elements and themes are a trademark of CyanogenMod, allowing users to change icons, fonts, wallpapers, and lock screens. There's a built-in theme store, but a quick search in Google Play will turn up hundreds of compatible themes to choose from. Themed or stock, the OnePlus One never showed signs of slowing down. You can toggle whether you use the on-screen or capacitive navigation buttons, but I noticed a small bug using the on-screen option. Launching straight into Google Now caused the navigation bar to lose its transparency effect and show up as a thick black bar along the bottom. Locking and unlocking the phone returned the bar to its transparent state, so it's only a minor quibble."
OnePlus 1,Performance and CyanogenMod,"OnePlus puts an emphasis on security, offering encrypted text messaging between devices running CyanogenMod and granular control over individual app permissions with Privacy Guard. Instead of being locked into the all-or-nothing permissions model of standard Android builds, OnePlus One users can control exactly what your app has access to, blocking some permissions while keeping others. Digging into Privacy Guard also lets you see when each app made use of individual permissions, which can be helpful in determining which permissions it really needs to function. Keep in mind that disabling some permissions can cause apps to work erratically or break all together."
OnePlus 1,Cameras and Conclusions,"The OnePlus One comes equipped with a 13-megapixel, rear-facing camera with dual-LED flash and a 5-megapixel front-facing camera. OnePlus says it uses a Sony Exmor IMX 214 sensor with an f/2.0 aperture for gathering more light and a six-element lens to cut down on distortion. CEO Peter Lau claims that the camera was optimized for ""real-life conditions,"" and in my tests I found that to be mostly true. In good lighting, images look alive with detail and true-to-life colors. Autofocus was nearly instantaneous, but exposure was hit or miss and dynamic range was only average. Unfortunately, that low-distortion claim doesn't hold up—towards the edges of the frame you can see straight lines becoming awkwardly warped and unnatural. In low light and indoors, the camera did an admirable job balancing grain with detail, but images still ended up looking soft, especially if subjects weren't completely still. I prefer them to the results I saw with the GS5 in low-light, but the HTC One (M8) still takes better low-light images."
OnePlus 1,Cameras and Conclusions,"The OnePlus One is capable of 4K video recording, but it's not very practical—video quality takes a big hit compared with its 1080p footage, especially indoors, while frame rates can dip below 15 frames per second and autofocus becomes painfully slow. Standard 1080p footage looks vivid and lifelike in good lighting, but graininess creeps in even under modestly lit scenarios."
OnePlus 1,Cameras and Conclusions,"There's a sea change underway in the mobile world, and consumers are going to be the big winners here. Carriers like T-Mobile are moving towards unsubsidized and contract-free models, while companies like Google, Motorola, and now OnePlus are redefining expectations for affordable smartphones. The OnePlus One is hopefully a harbinger of things to come; a no-compromise device that challenges the current hegemony of subsidized smartphones and contract-bound service plans. If the untested company can maintain quality control and meet demand, the One will be the smartphone to beat. Though it's not as great of a value as the One, Google's Nexus 6 continues to impress with its beautiful display and stock Android software. Otherwise, the OnePlus One is the most phone for the least money. "
OnePlus 2,Introduction,"The OnePlus 2 is every bit the ""flagship killer"" the rogue smartphone manufacturer promises, packed with the latest in mobile tech at an unbelievably low price of $389 for the 64GB model. And that's unlocked. The company's much-maligned invite-only retail model remains, but that unconventional approach helps profit margins, so few competitors can deliver a higher price-to-performance ratio than OnePlus. The OnePlus 2 is a better value than high-end unlocked phones like the ZTE Axon Pro ($238.00 at Amazon)  and easily outclasses budget-friendly options like the Alcatel OneTouch Idol 3 ($139.00 at Amazon) . It's our new Editors' Choice for unlocked smartphones, offering unparalleled value and performance in a spectacular complete package. You just have to be lucky enough to get an invitation to buy one. "
OnePlus 2,"Design, Features, and Network Performance","OnePlus doesn't stray too far from its inaugural effort, the OnePlus One, focusing instead on subtle refinements and tight execution. The wonderfully textured sandstone finish helps assuage any plastic prejudices, while the new rigid metal frame exudes quality.  At 5.98 by 2.95 by 0.39 inches and 6.17 ounces, the OnePlus 2 ($299.00 at Plusnet Mobile)  is on the large side by conventional standards—much bigger than the Samsung Galaxy S6 ( at Amazon)  (5.65 by 2.78 by 0.27 inches, 4.87 ounces) and only a hair smaller than the ZTE Axon Pro (6.06 by 2.9 by 0.37 inches, 6.3 ounces). Pleasantly stiff Power and Volume buttons line the right edge, while a dedicated alert slider on the left edge mutes notifications. Along the bottom edge is a new USB Type-C port, which offers a number of advantages to micro USB like faster speeds and reversible design. The back plate peels off to reveal the dual SIM card slot and sealed battery, and OnePlus sells swappable backs in exotic materials like rosewood and Kevlar."
OnePlus 2,"Design, Features, and Network Performance","The 5.5-inch, full HD LCD might not wow the spec obsessed, but the display nearly matches the S6's blinding maximum brightness, while colors and whites look cleaner and true to life. Contrast is excellent, as are viewing angles. Below the display is a combination Home button and fingerprint reader flanked by programmable capacitive navigation buttons. The Home button is also capacitive, rather than physical, and OnePlus also lets you opt for on-screen software navigation buttons instead, if you'd prefer."
OnePlus 2,"Design, Features, and Network Performance","Sold completely unlocked, the OnePlus supports a wide range of wireless spectrum. In the U.S., it'll work on AT&T and T-Mobile with full support for 4G LTE on both carriers. I tested with an AT&T SIM, which worked without any additional configuration. Call quality was excellent in my tests, putting the OnePlus One's struggles in the rearview mirror. The earpiece is punchy and offers solid dynamic range with no distortion at maximum volume. Callers' voices sound full and intelligible, while transmissions through the mic were equally clean with natural tone. Noise cancellation works well for moderate indoor distractions, but the OnePlus 2 still let through a good amount of noise from a busy city street in testing. The speakerphone pumps out loud volume, but it sounds very harsh at top levels."
OnePlus 2,"Design, Features, and Network Performance","The handset supports 802.11b/g/n/ac Wi-Fi on the 2.4GHz and 5GHz bands, as well as Bluetooth 4.1 and GPS. In side-by-side tests, the OnePlus 2 was able to keep pace with the Galaxy S6 in Wi-Fi speed, notching an impressive 115Mbps peak download rate to the S6's 118Mbps. Upload speeds lagged behind the S6, hovering around 6Mbps to the S6's 10Mbps average."
OnePlus 2,Performance and Android,"The original OnePlus One was notable for being among the first affordable unlocked phones to use a high-end Qualcomm chip. That tradition continues in the OnePlus 2 and its Qualcomm Snapdragon 810 SoC, which is clocked at a slightly lower 1.8GHz to the ZTE Axon's 2GHz Snapdragon 810. The phone gets noticeably warm at times, but not uncomfortably so. Benchmarks were right in line with phones like the Axon or the LG G4, and numbers didn't dip after running intensive games like GTA: San Andreas for an hour. If you opt for the 64GB model, you also get 4GB RAM, versus 3GB for the 16GB model ($329). That means strong multitasking chops, which allowed me to jump between resource-heavy games or apps without losing my place or reloading during testing. I noticed a few bugs during my testing period, including intermittent lag between app launches and some random, but infrequent, Home button unresponsiveness."
OnePlus 2,Performance and Android,"OnePlus parted ways with the CyanogenMod team that handled the software for OnePlus One. The OnePlus 2 runs Android 5.1 with OnePlus' OxygenOS tweaks on top. Thankfully, OxygenOS is very close to stock Android with only a handful of thoughtful, unobtrusive additions. Gestures like double-tap to wake and drawing a circle to open the camera are easily toggled on or off. You can also opt for software navigation buttons or just swap the Back and Recent Apps functions on the capacitive buttons. The most visible addition is the optional Shelf home screen feature. The Shelf is an adaptive screen that shows your frequently used apps and contacts, as well as a space for widgets. I don't find it all that useful, though, and it can easily be disabled."
OnePlus 2,Performance and Android,Our 64GB test unit came with 53.01GB available out of the box. Bloatware is essentially non-existent here: the only two preloads are an audio tuning app and SwiftKey's popular keyboard replacement.
OnePlus 2,Performance and Android,"In a battery rundown test, where we streamed a YouTube video over LTE with screen brightness set to max, the OnePlus 2 lasted 5 hours, 19 minutes. That handily beats the Alcatel One Touch Idol 3's 4 hours and 12 minutes in the same test."
OnePlus 2,Camera and Conclusions,"There's a 13-megapixel, rear-facing camera with optical image stabilization. The 1/2.6-inch OmniVision image sensor is the same physical size as the Sony IMX240 image sensor featured on the Galaxy S6. Image quality was very good in my tests, with well-balanced, detail-rich shots in bright outdoor light. Most high-end smartphones take great looking photos in good light, though, and the real test is low-light performance. Under low indoor lighting, the OnePlus 2 was still able to eke out some nice detail and good looking images, but results weren't quite up to the same level as the S6. Image noise isn't overwhelming, but the OnePlus 2's shots showed more grain and smudged details, which could be a sign of overaggressive noise reduction. For example, lettering on labels or books was more legible on the S6's shots in my test photos. Color accuracy is a strength here, though, as everything looked more true to life than Samsung's often over-saturated renditions. Focus and capture speed lag aren't nearly on the same level as the S6's camera, which can make capturing action in low light with the OnePlus 2 tough. Video quality tops out at 4K, but footage looks slightly jarring due to lower frame rates. Full HD video quality is excellent and right in line with the Galaxy S6's output."
OnePlus 2,Camera and Conclusions,"The original OnePlus One was almost too good to be true—in fact, supply shortages along the way made us wonder if the company ever intended to sell many units in the first place. Now with a year under its belt to work out the kinks, we're ready to put a little faith back into OnePlus and its ability to actually get phones into customers' hands. The OnePlus 2 retains the power, polish, and aggressive pricing of its predecessor, making it the unlocked phone to beat and our Editors' Choice. It's a more refined, less expensive alternative to the ZTE Axon Pro, and far more feature-rich than the Alcatel One Touch Idol 3, our other two top picks for unlocked smartphones."
OnePlus X,Introduction,"Unlike the OnePlus One and the OnePlus 2, the new OnePlus X ($249; 16GB) isn't being advertised as a ""flagship killer."" Instead, it is aimed at shaking up the budget market. This compact, premium Android phone doesn't make any major hardware compromises—and it's easy to use one-handed. That makes it a rare commodity these days, but thanks to a pesky invite-only purchase system and the lack of key North American bands, the OnePlus X is difficult to recommend over rival unlocked phones like the Alcatel OneTouch Idol 3 4.7 and the Google Nexus 5X."
OnePlus X,"Design, Display, and Features","The OnePlus X has an attractive, premium build. It's essentially two slabs of glass held in place by a metal frame, similar in design to the classic Apple iPhone 4. It measures 5.51 by 2.72 by 0.27 inches (HWD) and weighs 4.86 ounces, making it easy to hold and use with just one hand. The Nexus 5X (5.79 by 2.86 by 0.31 inches, 4.8 ounces) is notably larger, while the Idol 3 (5.40 by 2.59 by 0.30 inches, 3.88 ounces) is slightly smaller, but not nearly as sleek. The glass back has a habit of picking up smudges, and feels a bit slippery in your hand, so you'll probably want to consider getting a case."
OnePlus X,"Design, Display, and Features","The front of the phone is home to a 5-inch AMOLED display. It packs 441 pixels per inch into its 16:9 frame, matching the native resolution of 1080p video. Everything looks crisp and bright, with rich colors and good viewing angles, even outdoors. This is an excellent screen for the price."
OnePlus X,"Design, Display, and Features","Three capacitive touch buttons sit below the display, unlit and a bit hard to see. You have the option of switching to on-screen buttons, but I found that it wasn't worth the loss of screen real estate. There's a clicky metal power button and a volume rocker on the right, and an alert slider on the left, all of which are easy to reach. The alert slider is a welcome feature introduced on the OnePlus 2; it toggles between All Notifications, Priority Interruptions, and No Interruptions without having to unlock your phone."
OnePlus X,"Design, Display, and Features","Notable features missing on the OnePlus X include a fingerprint scanner and fast charging, both of which are present on the OnePlus 2 and can be found on the Nexus 5X. Then again, you're paying a lot less for the OnePlus X, and neither of these features are indispensable."
OnePlus X,Network Performance and Sound,"The OnePlus X supports GSM (850/900/1800/1900MHz), WCDMA (1/2/4/5/8), and LTE (1/2/4/5/7/8) bands. There is no CDMA, so you can't use the phone on Sprint or Verizon. Even on AT&T and T-Mobile, however, your performance might be affected by the lack of some key bands."
OnePlus X,Network Performance and Sound,"There is no Band 12 support for T-Mobile, which will reduce connectivity outside of cities. I tested the OnePlus X on T-Mobile's network in midtown Manhattan and found it to be acceptably fast. But that's well inside city limits, and the lack of Band 12 isn't a problem in that area."
OnePlus X,Network Performance and Sound,"Testing the OnePlus X on AT&T was a different story. Here, the device is missing Band 17, which helps improve connectivity indoors. The phone remained stuck on HSPA+ most of the time I was inside, but even when I was able to connect to LTE outdoors speeds weren't particularly impressive—the highest download speed I clocked was 8.76Mbps."
OnePlus X,Network Performance and Sound,"Voice calls and noise cancellation, on the other hand, are just fine both on both AT&T and T-Mobile. The bottom-facing speakers get loud without sounding too tinny."
OnePlus X,Network Performance and Sound,"Wi-Fi is limited to 2.4GHz 802.11b/g/n. Bluetooth 4.0 is included, along with a proximity sensor, an accelerometer, a gyroscope, and an ambient light sensor. There's no NFC, but that's not a surprise considering it's also absent on the higher-end OnePlus 2."
OnePlus X,Network Performance and Sound,"Ultimately, I get the sense that the OnePlus X was never truly targeted for the U.S. market, where the phablet reigns supreme. The big sales are probably going to happen in China, India, and other emerging markets."
OnePlus X,Processor and Battery,"From a hardware perspective, the OnePlus X is essentially a repackaged version of the OnePlus One. There's a Snapdragon 801 processor, 3GB of RAM, and 16GB of internal storage. The OnePlus X can accommodate dual SIM cards, or a single SIM and a microSD card up to 128GB. It couldn't read our 200GB SanDisk ($64.00 at Amazon) card during testing, though it did recognize that a card had been inserted."
OnePlus X,Processor and Battery,"In terms of general usage and multitasking, the Snapdragon 801 continues to hold up well, despite its age. App switching and app launching were both speedy in my tests. The only time the hardware started to show its age was when playing games like Asphalt 8. I noticed the occasional frame drop, suggesting that the Adreno 330 GPU was struggling at certain points. Benchmarks also show this to be true. The OnePlus X got an AnTuTu score of 39,787, which is significantly lower than the Snapdragon 808-powered Nexus 5X (51,880)."
OnePlus X,Processor and Battery,"Battery life is good, though not great. With its 2,525mAh battery, the OnePlus X clocked 5 hours, 45 minutes in our rundown test where we set screen brightness to max and stream full-screen video over LTE. That's a little better than the OneTouch Idol 3 (5 hours, 14 minutes), but almost an hour less than the Nexus 5X (6 hours, 32 minutes)."
OnePlus X,Camera,"The OnePlus X takes crisp, clear shots with its 13-megapixel rear camera, with excellent detail. Autofocus and autoexposure are both reliable, and the device can shoot just as quickly as the Nexus 5X. The OnePlus X also has burst mode, which is something the 5X lacks."
OnePlus X,Camera,"Using both phones side by side, the only notable difference between the two is white balance. The OnePlus X captures warmer, slightly more saturated colors than necessarily accurate when compared with the Nexus 5X. Low-light performance isn't as strong here, with more grain and noise."
OnePlus X,Camera,"The OnePlus X is capable of 1080p video capture at 30 frames per second (fps) and 720p slow-mo video at 120fps. Despite the lack of optical image stabilization (OIS), video recording is free from jerkiness or jittering. The 8-megapixel selfie camera is solid."
OnePlus X,"Software, Availability, and Conclusions","The OnePlus X runs Android 5.1.1 Lollipop, with OxygenOS 2.1.2 running on top. Despite being a custom UI, the only pre-installed app is SwiftKey. Aside from that, OxygenOS is mostly stock Android, with some extra features."
OnePlus X,"Software, Availability, and Conclusions","There are gesture controls like double-tap-to-wake, or drawing a circle on the screen to launch the camera. You can also customize the capacitive buttons to carry out similar functions. If you swipe left from the home screen, there's a page that shows your most frequently used apps and contacts. Overall, the additions are genuinely useful, and most Android fans will be pleased."
OnePlus X,"Software, Availability, and Conclusions","The OnePlus X sounds like a pretty great phone, right? So why the relatively average score? Well, it's hard to be overly enthusiastic about a device you might not ever be able to get."
OnePlus X,"Software, Availability, and Conclusions","The phone is available through an invite-only purchase system. OnePlus says that it will only be for the first month, but even after that, the phone won't be readily available outside of weekly flash sales. Considering how the company botched the release of the OnePlus 2 badly enough to issue an apology, I don't have much faith in the invite system. I understand that the company wants to avoid having tons of stock tied up in warehouses, but understanding this doesn't do anything for me when I want to buy a phone right now."
OnePlus X,"Software, Availability, and Conclusions","Still, the OnePlus X is a solid phone for an excellent price. It's easily the best-looking phone you can get for $250, though it falls short of some other unlocked options and misses some LTE bands. The Nexus 5X is more expensive, but it's also more powerful and offers better connectivity options for U.S. users. The OneTouch Idol 3 4.7, meanwhile, offers largely comparable hardware for $70 less. And both devices are much easier to get than the OnePlus X, which could prove to be the deciding factor for many potential buyers."
OnePlus 3,Introduction,"Never settle,"" OnePlus says in its marketing message. But the new OnePlus 3, which offers terrific performance, does indeed make some compromises to hit its $399 price point. That said, there's a lot to recommend here. Most notably, the OnePlus 3 uses Qualcomm's flagship Snapdragon 820 processor, pairing it with 6GB of RAM. As we saw in testing, that makes the phone really, really fast. It's also slim, highly customizable, and has great battery life, which will please you if you're looking for a reasonably priced but powerful unlocked phone."
OnePlus 3,Availability and Physical Features,"The fourth phone in the OnePlus lineup, the OnePlus 3 is also the first one that the company is selling without invitations. That means it'll likely be backordered, but OnePlus says it has worked out the inventory issues it experienced with the original OnePlus One. We're feeling a lot better about the company's ability to actually deliver phones than we used to."
OnePlus 3,Availability and Physical Features,"After a few years of plastic and organic backs, the 5.5-inch OnePlus 3 has gone fully metal. It's a big, flat phone at 6.0 by 2.9 by 0.3 inches (HWD) and 5.6 ounces, taller than the Samsung Galaxy S7 Edge (which also has a 5.5-inch screen), but smaller and slimmer than the Moto X Pure and the Google Nexus 6P (both of which have 5.7-inch displays)."
OnePlus 3,Availability and Physical Features,"The 5.5-inch 1080p screen is an Optic AMOLED panel. It's noticeably dimmer than the OLED on the Samsung Galaxy S7, and about on par with the HTC 10's LCD. That said, 1080p is a relatively low resolution compared with the Quad HD you get with just about every other major flagship."
OnePlus 3,Availability and Physical Features,"The back of the phone has noticeable antenna lines and an unsightly FCC sticker. There's a USB-C port on the bottom, but it only operates at USB 2.0 speeds. On the side, the most notable innovation is a super-convenient alert slider, which lets you flip over into Priority Alert or Silent Mode easily."
OnePlus 3,Availability and Physical Features,"If you want to switch out the phone's back panel, OnePlus is selling apricot, bamboo, rosewood, sandstone, and carbon fiber cases for $24.95 each, which give the phone a more organic feel. They're nice, though they don't look as integrated as the custom backs for the OnePlus 2."
OnePlus 3,Networking and Call Quality,"The phone's modem works with AT&T and T-Mobile on LTE bands 1/2/4/5/7/12/17/30. The phone supports dual SIMs, which I find a little disappointing because here in the US, we'd rather use that second slot of space for a microSD card. The OnePlus 3 does not have the right bands for Verizon's or Sprint's network."
OnePlus 3,Networking and Call Quality,"Voice quality is very good. I was impressed with the earpiece, which is loud without distorting under high volume transmissions. The speakerphone is also surprisingly loud for a bottom-ported, mono unit—it's usable outdoors, though not if you're surrounded by heavy traffic or construction noise. Transmissions through the mic were very clear when made from a quiet room. From a noisy area, there was some wind noise and distortion in the microphone that increased as noise cancellation ratcheted up, but my voice was still perfectly comprehensible."
OnePlus 3,Networking and Call Quality,"Other radios here include 802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.2, NFC, and of course GPS. Both LTE and Wi-Fi performance were not up to Galaxy S7 levels in testing. LTE is limited because the phone's X12 modem has been limited to Category 6, which offers slower speeds than most Snapdragon 820 devices. It also lacks MIMO for Wi-Fi, which generally improves Wi-Fi speeds, especially at the edge of Wi-Fi cells. I got Wi-Fi speeds about half of what I did on the Galaxy S7 in several tests, although range was about the same."
OnePlus 3,"Performance, Software, and Battery","If you put a powerful engine on something light, it'll scream. That's what OnePlus does by pairing a Snapdragon 820 processor with 6GB of RAM and UFS 2.0 flash memory, then fronting them with a mere 1080p display. While there are some other phones available with a Snapdragon 820 and a 1080p screen, this is the first one we've seen in the US, and it's startling what all that horsepower does to performance. Because of the lower-resolution screen and fast flash memory, the OnePlus 3 outperforms the Samsung Galaxy S7, the HTC 10, and other $600-750 phones on benchmarks."
OnePlus 3,"Performance, Software, and Battery","When you're looking at pure processor performance, the OnePlus 3 does pretty much the same as the other flagships—after all, it's the same processor. It's in video and storage where it excels. The phone doubled the Galaxy S7's frame rates on the more intense phases of the GFXBenchmark graphics benchmark, especially the ones that require OpenGL ES 3.1, which is used for the latest games. It also did better than the Galaxy S7 on both Antutu's RAM benchmark and A1 SD Bench's storage benchmark, and the 6GB of RAM means it can flip through more multitasking apps without resetting them than the competing flagships can."
OnePlus 3,"Performance, Software, and Battery","The low-resolution screen also has a positive impact on battery life. In testing, we saw 9 hours and 48 minutes of LTE YouTube streaming on the 3,000mAh battery, which is a bit higher than the Samsung Galaxy S7 (9 hours) and, in general, excellent. Dash Charging, the company's quick charge system, requires that you use a proprietary charger, which is pesky. But using that charger, you can go to 50 percent battery in 25 minutes, and reach a full charge in around 45 minutes."
OnePlus 3,"Performance, Software, and Battery","You can't expand the 64GB of storage, of which 52.6 GB is available, but at least it's fast. As mentioned above, it benchmarked around 50 percent faster than the Galaxy S7's built-in storage for writes using A1 SD Bench."
OnePlus 3,"Performance, Software, and Battery","The OxygenOS skin over Android 6.0.1 Marshmallow is somewhat pointless, but it's also not offensive. It mostly consists of a bunch of tweaks and extra customizations that you can ignore if you like. You can customize your LED notifications, the status bar, the quick settings bar, and how you wake up the phone. The most notable shift from standard Android is the Shelf, a set of widgets on a screen to the left of the main home screen. It's no more useful than another home screen would be. The bootloader is unlocked, so if you feel like hacking the phone, you certainly can."
OnePlus 3,Camera and Video,"Nowadays, taking clear shots in good lighting is par for the course on a flagship phone. The OnePlus 3 passes that initial hurdle without problems. Outdoor shots taken with the 16-megapixel rear camera and the 8-megapixel front camera are rich, sharp, and full of detail, although the Auto HDR mode sometimes makes things a little soft. The same goes for 4K video from the main camera and 1080p video from the front camera, both of which record smoothly at 30 frames per second."
OnePlus 3,Camera and Video,"Things get a little dimmer in low light, as they always do. Indoors, the front camera drops to a 1/33 second virtual shutter speed, so you have to hold it still to prevent blur. Low-light photos from the main camera can also get soft and noisy, although fortunately not blurry. It's no Galaxy S7, but for the price, the OnePlus 3 does very well indeed."
OnePlus 3,Camera and Video,"OnePlus made its own camera app, with a manual mode and shutter speed down to 1/8000 and ISO up to 3200, which is nice. I also found the tap-to-exposure, which works in both still and video modes, smooth and usable."
OnePlus 3,Camera and Video,"The powerful bottom-ported speaker makes the OnePlus 3 good for watching videos. I also played some high-quality HDtracks music files on Bowers & Wilkins P5 Wireless ($150.00 at Amazon) headphones. At maximum volume, the music is a little flatter and not quite as loud as on a Galaxy S7 or especially an HTC 10 (which has a 1-volt headphone amp), but you'd only notice that with high-quality files and high-quality headphones."
OnePlus 3,Comparisons and Conclusions,"The OnePlus 3 is a sleek, powerful Android phone. That's unquestionable. But $400 is an odd price for a phone right now since it's outside the budget realm. Our Editors' Choice budget unlocked phone, the Blu Life One X, costs less than half the OnePlus 3. At the high-end, people are generally demanding super-high-resolution screens and removable memory. The HTC 10, our other unlocked Editors' Choice, is $700 and delivers on those promises, as well as bringing nicer audio, faster Wi-Fi, and a better modem, with all the AT&T bands—as you'd expect from a more expensive phone."
OnePlus 3,Comparisons and Conclusions,"That leaves the OnePlus 3, and a few other potential rivals like the $499 ZTE Axon 7, stuck in the middle. But if you can swing the price, the OnePlus 3 delivers excellent bang for your buck."
OnePlus 3T,Introduction,"Well, that was fast! The OnePlus 3T, available in 64GB ($439) and 128GB ($479) models, has arrived to replace the $399 OnePlus 3, which was just released this summer. With the 3T, you get the very latest Qualcomm Snapdragon 821 processor complemented by 6GB of RAM, making the phone one of the fastest we've tested. Camera performance has improved with a higher megapixel front sensor, the already excellent battery life is even longer, and the software remains highly customizable. If you have a OnePlus 3, you'll probably want to hold onto it, but if you're in the market for a new unlocked phone, the OnePlus 3T is a solid alternative to the ZTE Axon 7 and a much more affordable option than the Google Pixel XL ($169.00 at Amazon)"
OnePlus 3T,"Design, Display, and Features","Put the OnePlus 3T ($439.00 at Plusnet Mobile) next to the OnePlus 3 and you won't be able to tell the difference. The two phones are physically identical, sharing the same metal unibody build, and same button and port placement. They can even use the same cases and accessories (including the OnePlus Loop VR headset), and both phones are available in gray or gold, though the gray 3T is slightly darker (pictured below)."
OnePlus 3T,"Design, Display, and Features","Unsurprisingly, the two phones are identically sized at 6.0 by 2.9 by 0.3 inches (HWD) and both weigh 5.6 ounces, putting the 3T in the same size and weight class as phablet-size metal slabs like the Pixel XL (6.1 by 3.0 by 0.3 inches, 5.9 ounces) and the Axon 7 ($350.00 at Amazon) (6.0 by 2.9 by 0.3 inches, 6.2 ounces). I find it a bit too wide and tall to reach everything with my thumb, making it difficult to use with one hand, especially since there's no option to resize the screen."
